	timestamp	date	activity
19590	2004-10-12 00:00:00	2004-10-12	0
19591	2004-10-12 00:01:00	2004-10-12	0
19592	2004-10-12 00:02:00	2004-10-12	0
19593	2004-10-12 00:03:00	2004-10-12	0
19594	2004-10-12 00:04:00	2004-10-12	0
19595	2004-10-12 00:05:00	2004-10-12	0
19596	2004-10-12 00:06:00	2004-10-12	0
19597	2004-10-12 00:07:00	2004-10-12	0
19598	2004-10-12 00:08:00	2004-10-12	0
19599	2004-10-12 00:09:00	2004-10-12	0
19600	2004-10-12 00:10:00	2004-10-12	0
19601	2004-10-12 00:11:00	2004-10-12	0
19602	2004-10-12 00:12:00	2004-10-12	0
19603	2004-10-12 00:13:00	2004-10-12	0
19604	2004-10-12 00:14:00	2004-10-12	0
19605	2004-10-12 00:15:00	2004-10-12	3
19606	2004-10-12 00:16:00	2004-10-12	0
19607	2004-10-12 00:17:00	2004-10-12	0
19608	2004-10-12 00:18:00	2004-10-12	0
19609	2004-10-12 00:19:00	2004-10-12	0
19610	2004-10-12 00:20:00	2004-10-12	0
19611	2004-10-12 00:21:00	2004-10-12	0
19612	2004-10-12 00:22:00	2004-10-12	0
19613	2004-10-12 00:23:00	2004-10-12	0
19614	2004-10-12 00:24:00	2004-10-12	3
19615	2004-10-12 00:25:00	2004-10-12	0
19616	2004-10-12 00:26:00	2004-10-12	0
19617	2004-10-12 00:27:00	2004-10-12	0
19618	2004-10-12 00:28:00	2004-10-12	0
19619	2004-10-12 00:29:00	2004-10-12	0
19620	2004-10-12 00:30:00	2004-10-12	0
19621	2004-10-12 00:31:00	2004-10-12	0
19622	2004-10-12 00:32:00	2004-10-12	0
19623	2004-10-12 00:33:00	2004-10-12	0
19624	2004-10-12 00:34:00	2004-10-12	0
19625	2004-10-12 00:35:00	2004-10-12	0
19626	2004-10-12 00:36:00	2004-10-12	5
19627	2004-10-12 00:37:00	2004-10-12	146
19628	2004-10-12 00:38:00	2004-10-12	0
19629	2004-10-12 00:39:00	2004-10-12	0
19630	2004-10-12 00:40:00	2004-10-12	0
19631	2004-10-12 00:41:00	2004-10-12	0
19632	2004-10-12 00:42:00	2004-10-12	0
19633	2004-10-12 00:43:00	2004-10-12	0
19634	2004-10-12 00:44:00	2004-10-12	0
19635	2004-10-12 00:45:00	2004-10-12	0
19636	2004-10-12 00:46:00	2004-10-12	0
19637	2004-10-12 00:47:00	2004-10-12	0
19638	2004-10-12 00:48:00	2004-10-12	0
19639	2004-10-12 00:49:00	2004-10-12	0
19640	2004-10-12 00:50:00	2004-10-12	0
19641	2004-10-12 00:51:00	2004-10-12	0
19642	2004-10-12 00:52:00	2004-10-12	0
19643	2004-10-12 00:53:00	2004-10-12	0
19644	2004-10-12 00:54:00	2004-10-12	0
19645	2004-10-12 00:55:00	2004-10-12	0
19646	2004-10-12 00:56:00	2004-10-12	0
19647	2004-10-12 00:57:00	2004-10-12	0
19648	2004-10-12 00:58:00	2004-10-12	0
19649	2004-10-12 00:59:00	2004-10-12	0
19650	2004-10-12 01:00:00	2004-10-12	0
19651	2004-10-12 01:01:00	2004-10-12	0
19652	2004-10-12 01:02:00	2004-10-12	0
19653	2004-10-12 01:03:00	2004-10-12	0
19654	2004-10-12 01:04:00	2004-10-12	0
19655	2004-10-12 01:05:00	2004-10-12	0
19656	2004-10-12 01:06:00	2004-10-12	0
19657	2004-10-12 01:07:00	2004-10-12	0
19658	2004-10-12 01:08:00	2004-10-12	0
19659	2004-10-12 01:09:00	2004-10-12	0
19660	2004-10-12 01:10:00	2004-10-12	0
19661	2004-10-12 01:11:00	2004-10-12	0
19662	2004-10-12 01:12:00	2004-10-12	0
19663	2004-10-12 01:13:00	2004-10-12	0
19664	2004-10-12 01:14:00	2004-10-12	0
19665	2004-10-12 01:15:00	2004-10-12	0
19666	2004-10-12 01:16:00	2004-10-12	0
19667	2004-10-12 01:17:00	2004-10-12	0
19668	2004-10-12 01:18:00	2004-10-12	0
19669	2004-10-12 01:19:00	2004-10-12	0
19670	2004-10-12 01:20:00	2004-10-12	0
19671	2004-10-12 01:21:00	2004-10-12	10
19672	2004-10-12 01:22:00	2004-10-12	18
19673	2004-10-12 01:23:00	2004-10-12	0
19674	2004-10-12 01:24:00	2004-10-12	0
19675	2004-10-12 01:25:00	2004-10-12	0
19676	2004-10-12 01:26:00	2004-10-12	0
19677	2004-10-12 01:27:00	2004-10-12	0
19678	2004-10-12 01:28:00	2004-10-12	0
19679	2004-10-12 01:29:00	2004-10-12	0
19680	2004-10-12 01:30:00	2004-10-12	0
19681	2004-10-12 01:31:00	2004-10-12	0
